Original Text,Subject,Relation,Object
Marissa Mayer announced a new edge computing at SpaceX.,Mayer,announced,SpaceX.
Apple released a quantum computing that improves edge computing.,that,released,computing
"Records show battle happened in Rome, Italy around 1664-06-18.",battle,show,1664
"Kamala Harris met leaders from Congress in Geneva, Switzerland to discuss policy announcement.",Harris,met,announcement
Max Planck Institute announced a particle discovery that impacts genetics.,that,announced,genetics
A study on particle discovery led by Isaac Newton was published on 1991-04-05.,study,published,1991
"Cristiano Ronaldo led Wimbledon to victory at the season opener in Melbourne, Australia.",Ronaldo,led,Australia
"George Washington Carver led trials of yield improvement study in Punjab, India.",Carver,led,Punjab
"Barack Obama announced policy changes regarding education at Washington, USA.",Obama,announced,Washington
"Angela Merkel met leaders from Parliament in New Delhi, India to discuss policy announcement.",India,met,announcement
"Angela Merkel announced policy changes regarding healthcare at Geneva, Switzerland.",Merkel,announced,Geneva
"CIMMYT introduced a yield improvement study to improve yields in Iowa, USA.",CIMMYT,introduced,Iowa
restructuring led to restructuring at Goldman Sachs.,restructuring,led,Sachs
"Leonardo da Vinci premiered a symphony at Vienna, Austria.",Vinci,premiered,Vienna
"M.S. Dhoni led Wimbledon to victory at the season opener in London, UK.",Dhoni,led,London
CERN announced a field research that impacts biology.,that,announced,biology
"Tesla opened a new office in Frankfurt, Germany to expand manufacturing.",Tesla,opened,manufacturing
Sundar Pichai became CEO of Tesla following the acquisition.,Pichai,became,acquisition
A breakthrough in robotics was reported by Apple.,breakthrough,reported,Apple
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Iowa, USA.",Ltd,introduced,Iowa
"Researchers at Harvard University reported a particle discovery in Cape Town, South Africa.",Researchers,reported,Town
"Barack Obama met leaders from United Nations in Washington, USA to discuss policy announcement.",Obama,met,announcement
"Kamala Harris announced policy changes regarding trade at Geneva, Switzerland.",Harris,announced,Geneva
FC Barcelona announced a new tournament for 2024-2025.,Barcelona,announced,2024
Sundar Pichai announced a new quantum computing at SpaceX.,Pichai,announced,SpaceX.
CERN announced a field research that impacts climatology.,that,announced,climatology
"Vincent van Gogh premiered a exhibition at Madrid, Spain.",Gogh,premiered,Madrid
A study on particle discovery led by Jane Goodall was published on 1500-11-03.,study,published,1500
"Samsung opened a new office in Seoul, South Korea to expand manufacturing.",Samsung,opened,manufacturing
Intel released a robotics that improves 5G networks.,that,released,networks
restructuring led to restructuring at Tesla.,restructuring,led,Tesla
"Kamala Harris met leaders from Congress in Washington, USA to discuss policy announcement.",Harris,met,announcement
NBA announced a new season opener for 2023-2024.,NBA,announced,2023
"M. S. Swaminathan led trials of pest control trial in Lima, Peru.",Swaminathan,led,Lima
"Barack Obama announced policy changes regarding climate at Geneva, Switzerland.",Obama,announced,Geneva
"Barack Obama met leaders from Parliament in Washington, USA to discuss policy announcement.",Obama,met,announcement
"A famous opera by Vincent van Gogh is housed in Tate Modern in Madrid, Spain.",opera,housed,Madrid
"Satya Nadella led the launch of a AI-driven sensors in Silicon Valley, USA.",Nadella,led,Valley
Sundar Pichai became CEO of Reliance Industries following the acquisition.,Pichai,became,acquisition
"Researchers at Max Planck Institute reported a field research in Geneva, Switzerland.",Researchers,reported,Geneva
Sundar Pichai became CEO of Tesla following the acquisition.,Pichai,became,acquisition
"International Rice Research Institute introduced a yield improvement study to improve yields in Punjab, India.",Institute,introduced,Punjab
A study on climate study led by Albert Einstein was published on 1771-02-18.,study,published,1771
"Wangari Maathai led trials of irrigation technique adoption in Lima, Peru.",Maathai,led,Lima
"A summit was passed by Parliament impacting Geneva, Switzerland.",summit,passed,Geneva
"Rachel Carson led trials of irrigation technique adoption in Punjab, India.",Carson,led,Punjab
NBA announced a new tournament for 2022-2023.,NBA,announced,2022
"The expedition marked a turning point in Berlin, Germany's history.",expedition,marked,Berlin
"M. S. Swaminathan led trials of yield improvement study in Punjab, India.",Swaminathan,led,Punjab
"Pablo Picasso premiered a painting at Madrid, Spain.",Picasso,premiered,Madrid
"The battle took place in Delhi, India and involved Roman Senate.",battle,took,Senate
"A famous exhibition by Leonardo da Vinci is housed in Metropolitan Opera in New York, USA.",exhibition,housed,York
"A policy announcement was passed by United Nations impacting Washington, USA.",announcement,passed,Nations
"The uprising took place in Versailles, France and involved Allied Powers.",uprising,took,Powers
"The season opener in London, UK featured Lionel Messi and NBA.",UK,featured,Messi
"Records show uprising happened in Berlin, Germany around 1539-09-02.",uprising,show,1539
"Kamala Harris met leaders from Parliament in Geneva, Switzerland to discuss summit.",Harris,met,summit
NASA announced a field research that impacts genetics.,that,announced,genetics
A study on particle discovery led by Rosalind Franklin was published on 1538-06-17.,study,published,1538
Siemens acquired Reliance Industries in a deal valued at $1.2B.,Siemens,acquired,1.2B.
"A bill passage was passed by European Union impacting New Delhi, India.",passage,passed,Delhi
"Researchers at CERN reported a field research in Cambridge, UK.",Researchers,reported,Cambridge
"Sydney Opera House announced restoration of the painting in New York, USA.",House,announced,York
"Records show expedition happened in Constantinople, Turkey around 1757-05-31.",expedition,happened,1757
"The tournament in Madrid, Spain featured M.S. Dhoni and Wimbledon.",Spain,featured,Dhoni
Julius Caesar was a key figure in the Treaty signing.,Caesar,was,signing
SpaceX released a robotics that improves 5G networks.,that,released,networks
"Records show battle happened in Constantinople, Turkey around 1549-02-10.",battle,show,1549
Max Planck Institute announced a particle discovery that impacts climatology.,that,announced,climatology
"Records show coronation happened in Rome, Italy around 1988-08-07.",coronation,happened,1988
"Farmers in Lima, Peru adopted irrigation technique adoption developed by ICAR.",Peru,adopted,ICAR
"The season opener in London, UK featured Serena Williams and FC Barcelona.",UK,featured,Williams
"Norman Borlaug led trials of yield improvement study in Nairobi, Kenya.",Borlaug,led,Nairobi
"Records show coronation happened in Constantinople, Turkey around 1821-08-26.",coronation,happened,1821
BeyoncÃ© exhibited a new exhibition at Tate Modern.,©,exhibited,Modern
A breakthrough in 5G networks was reported by OpenAI.,breakthrough,reported,OpenAI
Wimbledon announced a new season opener for 2024-2025.,Wimbledon,announced,2024
"BeyoncÃ© premiered a exhibition at Vienna, Austria.",©,premiered,Vienna
Indra Nooyi became CEO of Siemens following the merger.,Nooyi,became,merger
"The season opener in Madrid, Spain featured Lionel Messi and NBA.",Spain,featured,Messi
"Norman Borlaug led trials of irrigation technique adoption in Iowa, USA.",Borlaug,led,Iowa
"Sydney Opera House announced restoration of the opera in Madrid, Spain.",House,announced,Madrid
A breakthrough in AI-driven sensors was reported by Apple.,breakthrough,reported,Apple
"Barack Obama met leaders from Congress in Washington, USA to discuss policy announcement.",Obama,met,announcement
Mahatma Gandhi was a key figure in the Treaty signing.,Gandhi,was,signing
A study by Norman Borlaug showed benefits of pest control trial for soybeans.,study,showed,soybeans
Samsung acquired Reliance Industries in a deal valued at $15M.,Samsung,acquired,15M.
A study by M. S. Swaminathan showed benefits of yield improvement study for maize.,study,showed,maize
"Wangari Maathai led trials of pest control trial in Iowa, USA.",Maathai,led,Iowa
"Researchers at Harvard University reported a field research in Cape Town, South Africa.",Researchers,reported,Town
merger led to restructuring at Goldman Sachs.,merger,led,Sachs
A breakthrough in robotics was reported by SpaceX.,breakthrough,reported,SpaceX.
Wimbledon announced a new final match for 2022-2023.,Wimbledon,announced,2022
"The season opener in Madrid, Spain featured Cristiano Ronaldo and Wimbledon.",Spain,featured,Ronaldo
Albert Einstein published findings on particle discovery at NASA.,Einstein,published,NASA
"Researchers at NASA reported a field research in Cambridge, UK.",Researchers,reported,Cambridge
"Kamala Harris announced policy changes regarding climate at Washington, USA.",Harris,announced,Washington
A study by Wangari Maathai showed benefits of yield improvement study for maize.,study,showed,maize
Google released a 5G networks that improves robotics.,that,released,robotics
A study by Rachel Carson showed benefits of irrigation technique adoption for wheat.,study,showed,wheat
"Ada Lovelace led the launch of a quantum computing in London, UK.",Lovelace,led,London
"Siemens opened a new office in Mumbai, India to expand cloud services.",India,opened,services
"Marissa Mayer led the launch of a robotics in Shenzhen, China.",Mayer,led,Shenzhen
Grace Hopper announced a new 5G networks at Apple.,Hopper,announced,Apple
Wimbledon announced a new tournament for 2022-2023.,Wimbledon,announced,2022
Indra Nooyi became CEO of Siemens following the IPO.,Nooyi,became,IPO
"A summit was passed by Parliament impacting Geneva, Switzerland.",summit,passed,Geneva
Tim Cook became CEO of Samsung following the IPO.,Cook,became,IPO
"Farmers in Nairobi, Kenya adopted yield improvement study developed by AgriTech Ltd.",Kenya,adopted,Ltd.
Mahatma Gandhi was a key figure in the battle.,Gandhi,was,battle
"Records show uprising happened in Constantinople, Turkey around 1537-02-18.",uprising,show,1537
CERN announced a particle discovery that impacts genetics.,that,announced,genetics
"Researchers at NASA reported a particle discovery in Cape Town, South Africa.",Researchers,reported,Town
Jane Goodall published findings on field research at CERN.,Goodall,published,CERN
"ICAR introduced a irrigation technique adoption to improve yields in Nairobi, Kenya.",ICAR,introduced,Nairobi
Reliance Industries acquired Reliance Industries in a deal valued at $450M.,Industries,acquired,450M.
Sundar Pichai became CEO of Reliance Industries following the merger.,Pichai,became,merger
"A policy announcement was passed by European Union impacting Washington, USA.",announcement,passed,Union
"ICAR introduced a irrigation technique adoption to improve yields in Nairobi, Kenya.",ICAR,introduced,Nairobi
"International Rice Research Institute introduced a irrigation technique adoption to improve yields in Lima, Peru.",Institute,introduced,Lima
A study by Wangari Maathai showed benefits of pest control trial for soybeans.,study,showed,soybeans
"Satya Nadella led the launch of a AI-driven sensors in Shenzhen, China.",Nadella,led,Shenzhen
NBA announced a new season opener for 2022-2023.,NBA,announced,2022
"Marissa Mayer led the launch of a quantum computing in Bengaluru, India.",Mayer,led,Bengaluru
Tim Berners-Lee announced a new 5G networks at Google.,Lee,announced,Google
Rosalind Franklin published findings on climate study at Max Planck Institute.,Franklin,published,Institute
A study on climate study led by Rosalind Franklin was published on 1980-12-14.,study,published,1980
"A famous painting by Ludwig van Beethoven is housed in Metropolitan Opera in Paris, France.",painting,housed,Paris
"Rachel Carson led trials of irrigation technique adoption in Lima, Peru.",Carson,led,Lima
"Farmers in Punjab, India adopted yield improvement study developed by International Rice Research Institute.",India,adopted,Institute
"Kamala Harris met leaders from European Union in Washington, USA to discuss summit.",USA,met,summit
Grace Hopper announced a new AI-driven sensors at Intel.,Hopper,announced,Intel
"Pablo Picasso premiered a symphony at Paris, France.",Picasso,premiered,Paris
A study on gene sequencing led by Jane Goodall was published on 1749-01-26.,study,published,1749
Indra Nooyi became CEO of Samsung following the merger.,Nooyi,became,merger
"Sundar Pichai led the launch of a quantum computing in Stockholm, Sweden.",Pichai,led,Stockholm
"Angela Merkel met leaders from European Union in Washington, USA to discuss policy announcement.",Merkel,met,announcement
"Marissa Mayer led the launch of a robotics in Shenzhen, China.",Mayer,led,Shenzhen
FC Barcelona announced a new final match for 2022-2023.,Barcelona,announced,2022
"Farmers in Nairobi, Kenya adopted yield improvement study developed by ICAR.",Kenya,adopted,ICAR
"Farmers in Nairobi, Kenya adopted yield improvement study developed by CIMMYT.",Kenya,adopted,CIMMYT
Mary Barra became CEO of Samsung following the acquisition.,Barra,became,acquisition
"Barack Obama announced policy changes regarding climate at Geneva, Switzerland.",Obama,announced,Geneva
"Marissa Mayer led the launch of a AI-driven sensors in London, UK.",Mayer,led,London
Marie Curie published findings on particle discovery at CERN.,Curie,published,CERN
"A bill passage was passed by Parliament impacting Washington, USA.",passage,passed,Parliament
Harvard University announced a gene sequencing that impacts physics.,that,announced,physics
"The Treaty signing took place in Berlin, Germany and involved Mughal Empire.",signing,took,Empire
Wimbledon announced a new season opener for 2022-2023.,Wimbledon,announced,2022
Reliance Industries acquired Goldman Sachs in a deal valued at $450M.,Industries,acquired,450M.
"Reliance Industries opened a new office in Mumbai, India to expand cloud services.",India,opened,services
"Pablo Picasso premiered a installation at Paris, France.",Picasso,premiered,Paris
"Researchers at Harvard University reported a climate study in Cape Town, South Africa.",Researchers,reported,Town
Jane Goodall published findings on field research at NASA.,Goodall,published,NASA
"The battle marked a turning point in Berlin, Germany's history.",battle,marked,Berlin
SpaceX released a edge computing that improves quantum computing.,that,released,computing
Nelson Mandela was a key figure in the expedition.,Mandela,was,expedition
"The tournament in Madrid, Spain featured M.S. Dhoni and Wimbledon.",Spain,featured,Dhoni
Grace Hopper announced a new 5G networks at Apple.,Hopper,announced,Apple
"The Treaty signing marked a turning point in Delhi, India's history.",signing,marked,Delhi
"Narendra Modi announced policy changes regarding climate at Geneva, Switzerland.",Modi,announced,Geneva
Siemens acquired Reliance Industries in a deal valued at $1.2B.,Siemens,acquired,1.2B.
A breakthrough in 5G networks was reported by SpaceX.,breakthrough,reported,SpaceX.
"Farmers in Punjab, India adopted yield improvement study developed by ICAR.",India,adopted,ICAR
CERN announced a gene sequencing that impacts genetics.,that,announced,genetics
A study on field research led by Marie Curie was published on 1882-10-03.,study,published,1882
"Angela Merkel announced policy changes regarding healthcare at Geneva, Switzerland.",Merkel,announced,Geneva
"Marissa Mayer led the launch of a quantum computing in Silicon Valley, USA.",Mayer,led,Valley
"A summit was passed by Parliament impacting New Delhi, India.",summit,passed,Delhi
"Narendra Modi announced policy changes regarding healthcare at New Delhi, India.",Modi,announced,Delhi
"The coronation took place in Berlin, Germany and involved Ottoman Empire.",coronation,took,Empire
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Punjab, India.",Ltd,introduced,Punjab
NASA announced a field research that impacts biology.,that,announced,biology
"The coronation marked a turning point in Berlin, Germany's history.",coronation,marked,Berlin
"The final match in London, UK featured M.S. Dhoni and NBA.",UK,featured,Dhoni
"A bill passage was passed by United Nations impacting Washington, USA.",passage,passed,Nations
Tesla acquired Tesla in a deal valued at $15M.,Tesla,acquired,15M.
"The coronation marked a turning point in Constantinople, Turkey's history.",coronation,marked,history
Marissa Mayer announced a new robotics at Apple.,Mayer,announced,Apple
"Goldman Sachs opened a new office in New York, USA to expand consumer electronics.",USA,opened,electronics
"Farmers in Nairobi, Kenya adopted irrigation technique adoption developed by AgriTech Ltd.",Kenya,adopted,Ltd.
"The Treaty signing marked a turning point in Constantinople, Turkey's history.",signing,marked,history
"Serena Williams led Wimbledon to victory at the tournament in Madrid, Spain.",Williams,led,Madrid
Jamie Dimon became CEO of Tesla following the acquisition.,Dimon,became,acquisition
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Lima, Peru.",Ltd,introduced,Lima
"Records show coronation happened in Delhi, India around 1841-04-20.",coronation,happened,1841
"Rachel Carson led trials of pest control trial in Iowa, USA.",Carson,led,Iowa
"A summit was passed by European Union impacting Geneva, Switzerland.",summit,passed,Geneva
Wimbledon announced a new final match for 2023-2024.,Wimbledon,announced,2023
"The final match in Madrid, Spain featured Cristiano Ronaldo and Wimbledon.",Spain,featured,Ronaldo
"A famous opera by Pablo Picasso is housed in Sydney Opera House in Madrid, Spain.",opera,housed,Madrid
"The season opener in London, UK featured M.S. Dhoni and FC Barcelona.",UK,featured,Dhoni
"The final match in Madrid, Spain featured M.S. Dhoni and NBA.",Spain,featured,Dhoni
CERN announced a climate study that impacts genetics.,that,announced,genetics
Isaac Newton published findings on field research at CERN.,Newton,published,CERN
Max Planck Institute announced a field research that impacts climatology.,that,announced,climatology
A breakthrough in edge computing was reported by OpenAI.,breakthrough,reported,OpenAI
A study by George Washington Carver showed benefits of yield improvement study for soybeans.,study,showed,soybeans
Indra Nooyi became CEO of Siemens following the restructuring.,Nooyi,became,restructuring
"Grace Hopper led the launch of a 5G networks in Stockholm, Sweden.",Hopper,led,Stockholm
Siemens acquired Samsung in a deal valued at $1.2B.,Siemens,acquired,1.2B.
"A bill passage was passed by Parliament impacting Washington, USA.",passage,passed,Parliament
"Researchers at Harvard University reported a field research in Cambridge, UK.",Researchers,reported,Cambridge
"Angela Merkel announced policy changes regarding climate at Washington, USA.",Merkel,announced,Washington
NBA announced a new season opener for 2024-2025.,NBA,announced,2024
NBA announced a new season opener for 2023-2024.,NBA,announced,2023
"Barack Obama met leaders from United Nations in New Delhi, India to discuss policy announcement.",India,met,announcement
"A policy announcement was passed by Parliament impacting Geneva, Switzerland.",announcement,passed,Geneva
"Researchers at CERN reported a climate study in Cape Town, South Africa.",Researchers,reported,Town
"Angela Merkel announced policy changes regarding education at Geneva, Switzerland.",Merkel,announced,Geneva
"The expedition marked a turning point in Delhi, India's history.",expedition,marked,Delhi
Goldman Sachs acquired Siemens in a deal valued at $1.2B.,Sachs,acquired,1.2B.
"Records show uprising happened in Delhi, India around 1726-07-15.",uprising,show,1726
merger led to restructuring at Tesla.,merger,led,Tesla
"Narendra Modi announced policy changes regarding climate at New Delhi, India.",Modi,announced,Delhi
Samsung acquired Tesla in a deal valued at $450M.,Samsung,acquired,450M.
Wimbledon announced a new season opener for 2022-2023.,Wimbledon,announced,2022
"A bill passage was passed by Parliament impacting Washington, USA.",passage,passed,Parliament
restructuring led to restructuring at Goldman Sachs.,restructuring,led,Sachs
A breakthrough in 5G networks was reported by Intel.,breakthrough,reported,Intel
acquisition led to restructuring at Siemens.,acquisition,led,Siemens
Elon Musk announced a new edge computing at IBM.,Musk,announced,IBM
A study by Wangari Maathai showed benefits of yield improvement study for maize.,study,showed,maize
restructuring led to restructuring at Samsung.,restructuring,led,Samsung
"The coronation took place in Rome, Italy and involved British Empire.",coronation,took,Empire
"The expedition marked a turning point in Berlin, Germany's history.",expedition,marked,Berlin
"Samsung opened a new office in Frankfurt, Germany to expand financial services.",Samsung,opened,services
"Barack Obama met leaders from Parliament in Geneva, Switzerland to discuss bill passage.",Obama,met,passage
A study by Norman Borlaug showed benefits of yield improvement study for maize.,study,showed,maize
"FAO introduced a pest control trial to improve yields in Nairobi, Kenya.",FAO,introduced,Nairobi
Jamie Dimon became CEO of Tesla following the IPO.,Dimon,became,IPO
"Researchers at Harvard University reported a field research in Cape Town, South Africa.",Researchers,reported,Town
"Kamala Harris announced policy changes regarding healthcare at New Delhi, India.",Harris,announced,Delhi
"A summit was passed by United Nations impacting Washington, USA.",summit,passed,Nations
A study by M. S. Swaminathan showed benefits of irrigation technique adoption for soybeans.,study,showed,soybeans
"FAO introduced a yield improvement study to improve yields in Iowa, USA.",FAO,introduced,Iowa
NBA announced a new final match for 2024-2025.,NBA,announced,2024
"Narendra Modi announced policy changes regarding trade at Washington, USA.",Modi,announced,Washington
Sundar Pichai became CEO of Reliance Industries following the acquisition.,Pichai,became,acquisition
"The season opener in Madrid, Spain featured Serena Williams and NBA.",Spain,featured,Williams
Tesla acquired Tesla in a deal valued at $450M.,Tesla,acquired,450M.
"Samsung opened a new office in Mumbai, India to expand manufacturing.",India,expand,manufacturing
A study by Norman Borlaug showed benefits of irrigation technique adoption for soybeans.,study,showed,soybeans
A breakthrough in AI-driven sensors was reported by Apple.,breakthrough,reported,Apple
"George Washington Carver led trials of irrigation technique adoption in Nairobi, Kenya.",Carver,led,Nairobi
NASA announced a climate study that impacts biology.,that,announced,biology
"Lionel Messi led NBA to victory at the final match in London, UK.",Messi,led,London
"Researchers at Max Planck Institute reported a particle discovery in Geneva, Switzerland.",Researchers,reported,Geneva
"Narendra Modi announced policy changes regarding education at Washington, USA.",Modi,announced,Washington
acquisition led to restructuring at Tesla.,acquisition,led,Tesla
