Text,People,Organizations,Locations,Date,Event,Domain
"A summit was passed by United Nations impacting Washington, USA.",Kamala Harris,United Nations,"Washington, USA",1640-04-14,summit,Politics
"Rachel Carson led trials of irrigation technique adoption in Punjab, India.",Rachel Carson,FAO,"Punjab, India",1817-12-04,irrigation technique adoption,Agriculture
"A famous exhibition by Frida Kahlo is housed in Metropolitan Opera in New York, USA.",Frida Kahlo; Leonardo da Vinci,Metropolitan Opera,"New York, USA",1779-08-08,exhibition,Arts
A breakthrough in edge computing was reported by OpenAI.,Ada Lovelace,OpenAI; Google,"Stockholm, Sweden",1727-01-28,edge computing,Technology
A study by M. S. Swaminathan showed benefits of yield improvement study for wheat.,M. S. Swaminathan,AgriTech Ltd; ICAR,"Lima, Peru",1778-06-18,yield improvement study,Agriculture
Jamie Dimon became CEO of Reliance Industries following the IPO.,Jamie Dimon,Reliance Industries,"Mumbai, India",1586-03-10,IPO,Business
A breakthrough in robotics was reported by SpaceX.,Tim Berners-Lee,SpaceX,"Silicon Valley, USA",1716-07-29,quantum computing,Technology
"Narendra Modi announced policy changes regarding healthcare at New Delhi, India.",Narendra Modi,Congress,"New Delhi, India",1760-05-14,policy announcement,Politics
"A bill passage was passed by Parliament impacting New Delhi, India.",Barack Obama,Parliament,"New Delhi, India",1548-06-11,bill passage,Politics
A study by Norman Borlaug showed benefits of yield improvement study for soybeans.,Norman Borlaug,CIMMYT,"Punjab, India",1614-01-17,yield improvement study,Agriculture
"The tournament in Madrid, Spain featured Serena Williams and Team India.",Serena Williams; M.S. Dhoni,Team India,"Madrid, Spain",1898-11-09,tournament,Sports
Leonardo da Vinci exhibited a new painting at Sydney Opera House.,Leonardo da Vinci,Sydney Opera House,"Madrid, Spain",1668-05-12,painting,Arts
A study by Norman Borlaug showed benefits of irrigation technique adoption for maize.,Norman Borlaug,FAO,"Lima, Peru",1726-10-12,irrigation technique adoption,Agriculture
restructuring led to restructuring at Samsung.,Mary Barra,Samsung,"Frankfurt, Germany",1998-03-25,restructuring,Business
A breakthrough in robotics was reported by Microsoft.,Elon Musk; Satya Nadella,Microsoft,"Silicon Valley, USA",1792-12-05,5G networks,Technology
"Siemens opened a new office in Seoul, South Korea to expand financial services.",Tim Cook,Siemens,"Seoul, South Korea",1711-06-11,restructuring,Business
A study by Norman Borlaug showed benefits of irrigation technique adoption for wheat.,Norman Borlaug,ICAR; International Rice Research Institute,"Nairobi, Kenya",1672-01-29,irrigation technique adoption,Agriculture
Team India announced a new tournament for 2022-2023.,M.S. Dhoni,Team India,"London, UK",1561-02-02,tournament,Sports
"Barack Obama met leaders from European Union in Geneva, Switzerland to discuss policy announcement.",Barack Obama,European Union,"Geneva, Switzerland",1528-06-19,policy announcement,Politics
"The battle marked a turning point in Rome, Italy's history.",Nelson Mandela,Ottoman Empire,"Rome, Italy",1727-02-06,battle,History
"A bill passage was passed by Parliament impacting Geneva, Switzerland.",Angela Merkel,Parliament,"Geneva, Switzerland",1947-01-11,bill passage,Politics
"A bill passage was passed by Congress impacting New Delhi, India.",Kamala Harris,Congress,"New Delhi, India",1923-12-20,bill passage,Politics
"Cristiano Ronaldo led Team India to victory at the tournament in Madrid, Spain.",Cristiano Ronaldo,Team India,"Madrid, Spain",1748-01-09,tournament,Sports
"The uprising took place in Rome, Italy and involved Roman Senate.",Queen Elizabeth I,Roman Senate,"Rome, Italy",1964-04-17,uprising,History
NBA announced a new final match for 2022-2023.,M.S. Dhoni,NBA,"London, UK",1980-02-04,final match,Sports
"The coronation took place in Delhi, India and involved Roman Senate.",Nelson Mandela,Roman Senate; Allied Powers,"Delhi, India",1913-10-07,coronation,History
"M.S. Dhoni led NBA to victory at the season opener in Melbourne, Australia.",M.S. Dhoni,NBA,"Melbourne, Australia",1699-06-29,season opener,Sports
Marie Curie published findings on climate study at Harvard University.,Marie Curie,Harvard University,"Cambridge, UK",1706-07-21,climate study,Science
"Rachel Carson led trials of irrigation technique adoption in Punjab, India.",Rachel Carson,AgriTech Ltd; CIMMYT,"Punjab, India",1854-01-13,irrigation technique adoption,Agriculture
A study on gene sequencing led by Albert Einstein was published on 1960-05-22.,Albert Einstein,Harvard University,"Cambridge, UK",1960-05-22,gene sequencing,Science
Vincent van Gogh exhibited a new opera at Louvre Museum.,Vincent van Gogh,Louvre Museum,"New York, USA",1591-05-28,opera,Arts
"Kamala Harris announced policy changes regarding education at Washington, USA.",Kamala Harris,United Nations,"Washington, USA",1653-03-04,policy announcement,Politics
"The final match in Melbourne, Australia featured Serena Williams and Team India.",Serena Williams,Team India,"Melbourne, Australia",1600-01-03,final match,Sports
Siemens acquired Tesla in a deal valued at $15M.,Mary Barra,Siemens; Goldman Sachs,"New York, USA",1939-06-27,acquisition,Business
IBM released a AI-driven sensors that improves quantum computing.,Ada Lovelace; Satya Nadella,IBM,"Bengaluru, India",1756-02-15,AI-driven sensors,Technology
"Metropolitan Opera announced restoration of the symphony in New York, USA.",Frida Kahlo,Metropolitan Opera,"New York, USA",1820-06-30,symphony,Arts
Sundar Pichai became CEO of Goldman Sachs following the acquisition.,Sundar Pichai,Goldman Sachs; Tesla,"New York, USA",1753-07-27,acquisition,Business
Leonardo da Vinci exhibited a new installation at Sydney Opera House.,Leonardo da Vinci,Sydney Opera House; Tate Modern,"New York, USA",1705-02-07,installation,Arts
"Serena Williams led Team India to victory at the tournament in Madrid, Spain.",Serena Williams,Team India; FC Barcelona,"Madrid, Spain",1507-08-25,tournament,Sports
"Rachel Carson led trials of yield improvement study in Nairobi, Kenya.",Rachel Carson,CIMMYT,"Nairobi, Kenya",2020-06-10,yield improvement study,Agriculture
"The Treaty signing took place in Constantinople, Turkey and involved Mughal Empire.",Nelson Mandela,Mughal Empire,"Constantinople, Turkey",1609-01-25,Treaty signing,History
OpenAI released a 5G networks that improves robotics.,Tim Berners-Lee,OpenAI,"Bengaluru, India",1808-06-08,5G networks,Technology
"Farmers in Iowa, USA adopted pest control trial developed by ICAR.",George Washington Carver,ICAR,"Iowa, USA",1537-03-03,pest control trial,Agriculture
Marie Curie published findings on gene sequencing at CERN.,Marie Curie,CERN,"Cape Town, South Africa",1866-09-23,gene sequencing,Science
Harvard University announced a climate study that impacts climatology.,Isaac Newton,Harvard University,"Cambridge, UK",1599-10-06,climate study,Science
Vincent van Gogh exhibited a new installation at Sydney Opera House.,Vincent van Gogh,Sydney Opera House,"Madrid, Spain",1677-02-01,installation,Arts
"A famous exhibition by Beyoncé is housed in Sydney Opera House in Paris, France.",Beyoncé,Sydney Opera House,"Paris, France",1729-06-05,exhibition,Arts
"International Rice Research Institute introduced a irrigation technique adoption to improve yields in Punjab, India.",Norman Borlaug,International Rice Research Institute,"Punjab, India",1572-10-25,irrigation technique adoption,Agriculture
"Leonardo da Vinci premiered a exhibition at New York, USA.",Leonardo da Vinci,Royal Academy,"New York, USA",1600-12-05,exhibition,Arts
NBA announced a new final match for 2022-2023.,Lionel Messi,NBA,"Melbourne, Australia",1923-01-24,final match,Sports
Beyoncé exhibited a new symphony at Sydney Opera House.,Beyoncé,Sydney Opera House,"Paris, France",1663-01-02,symphony,Arts
Marie Curie published findings on particle discovery at NASA.,Marie Curie,NASA,"Cambridge, UK",1915-10-03,particle discovery,Science
"Frida Kahlo premiered a symphony at Madrid, Spain.",Frida Kahlo; Ludwig van Beethoven,Tate Modern; Royal Academy,"Madrid, Spain",1528-05-19,symphony,Arts
"A famous painting by Vincent van Gogh is housed in Louvre Museum in Madrid, Spain.",Vincent van Gogh,Louvre Museum; Sydney Opera House,"Madrid, Spain",1668-11-23,painting,Arts
"Farmers in Punjab, India adopted irrigation technique adoption developed by AgriTech Ltd.",Norman Borlaug,AgriTech Ltd,"Punjab, India",1766-06-22,irrigation technique adoption,Agriculture
A breakthrough in edge computing was reported by Apple.,Sundar Pichai,Apple,"Stockholm, Sweden",1639-08-11,AI-driven sensors,Technology
A study by Wangari Maathai showed benefits of irrigation technique adoption for maize.,Wangari Maathai,CIMMYT,"Punjab, India",1702-12-30,irrigation technique adoption,Agriculture
"The expedition took place in Rome, Italy and involved Mughal Empire.",Mahatma Gandhi,Mughal Empire,"Rome, Italy",1646-09-15,expedition,History
A study by Wangari Maathai showed benefits of irrigation technique adoption for wheat.,Wangari Maathai,CIMMYT,"Nairobi, Kenya",1823-02-26,irrigation technique adoption,Agriculture
Indra Nooyi became CEO of Reliance Industries following the restructuring.,Indra Nooyi; Jamie Dimon,Reliance Industries,"Frankfurt, Germany",1979-03-19,restructuring,Business
"Norman Borlaug led trials of pest control trial in Nairobi, Kenya.",Norman Borlaug,CIMMYT,"Nairobi, Kenya",1769-02-15,pest control trial,Agriculture
"Angela Merkel met leaders from United Nations in Washington, USA to discuss summit.",Angela Merkel; Narendra Modi,United Nations,"Washington, USA",1527-10-08,summit,Politics
"Records show coronation happened in Berlin, Germany around 1987-01-02.",Nelson Mandela,Roman Senate; British Empire,"Berlin, Germany",1987-01-02,coronation,History
"Serena Williams led Team India to victory at the final match in Melbourne, Australia.",Serena Williams,Team India,"Melbourne, Australia",1892-12-24,final match,Sports
"The uprising marked a turning point in Berlin, Germany's history.",Cleopatra,Ottoman Empire,"Berlin, Germany",1531-09-22,uprising,History
A study by Wangari Maathai showed benefits of irrigation technique adoption for soybeans.,Wangari Maathai,CIMMYT,"Lima, Peru",1588-12-23,irrigation technique adoption,Agriculture
Albert Einstein published findings on field research at CERN.,Albert Einstein,CERN,"Cape Town, South Africa",1999-06-08,field research,Science
"The final match in London, UK featured Lionel Messi and Team India.",Lionel Messi,Team India,"London, UK",1915-04-06,final match,Sports
Cleopatra was a key figure in the uprising.,Cleopatra,British Empire,"Versailles, France",1960-04-15,uprising,History
"The tournament in London, UK featured M.S. Dhoni and FC Barcelona.",M.S. Dhoni,FC Barcelona,"London, UK",1642-04-01,tournament,Sports
"Narendra Modi announced policy changes regarding climate at New Delhi, India.",Narendra Modi,Congress,"New Delhi, India",1902-06-25,summit,Politics
"Narendra Modi met leaders from Parliament in Geneva, Switzerland to discuss bill passage.",Narendra Modi,Parliament,"Geneva, Switzerland",1824-11-01,bill passage,Politics
"FAO introduced a irrigation technique adoption to improve yields in Nairobi, Kenya.",Norman Borlaug,FAO,"Nairobi, Kenya",1861-08-01,irrigation technique adoption,Agriculture
A study on field research led by Marie Curie was published on 1902-12-07.,Marie Curie,Max Planck Institute,"Cambridge, UK",1902-12-07,field research,Science
Beyoncé exhibited a new installation at Metropolitan Opera.,Beyoncé; Leonardo da Vinci,Metropolitan Opera,"New York, USA",1798-01-06,installation,Arts
A study by M. S. Swaminathan showed benefits of pest control trial for maize.,M. S. Swaminathan,FAO,"Nairobi, Kenya",1735-08-04,pest control trial,Agriculture
"Lionel Messi led Wimbledon to victory at the season opener in Melbourne, Australia.",Lionel Messi,Wimbledon; FC Barcelona,"Melbourne, Australia",1587-02-25,season opener,Sports
IPO led to restructuring at Tesla.,Mary Barra,Tesla,"Seoul, South Korea",1942-09-27,IPO,Business
"Barack Obama announced policy changes regarding trade at Geneva, Switzerland.",Barack Obama,European Union,"Geneva, Switzerland",1554-04-26,summit,Politics
"Researchers at Harvard University reported a particle discovery in Geneva, Switzerland.",Marie Curie,Harvard University,"Geneva, Switzerland",1779-05-09,particle discovery,Science
"Reliance Industries opened a new office in Mumbai, India to expand financial services.",Mary Barra,Reliance Industries,"Mumbai, India",1628-03-23,restructuring,Business
Google released a AI-driven sensors that improves edge computing.,Grace Hopper,Google,"London, UK",1723-08-24,AI-driven sensors,Technology
Jane Goodall published findings on gene sequencing at Max Planck Institute.,Jane Goodall,Max Planck Institute,"Geneva, Switzerland",1542-05-14,gene sequencing,Science
"A famous installation by Leonardo da Vinci is housed in Tate Modern in New York, USA.",Leonardo da Vinci,Tate Modern; Metropolitan Opera,"New York, USA",2013-07-27,installation,Arts
"Farmers in Iowa, USA adopted pest control trial developed by CIMMYT.",M. S. Swaminathan,CIMMYT,"Iowa, USA",1829-08-24,pest control trial,Agriculture
"A famous exhibition by Frida Kahlo is housed in Tate Modern in Vienna, Austria.",Frida Kahlo,Tate Modern,"Vienna, Austria",1515-09-06,exhibition,Arts
Cleopatra was a key figure in the battle.,Cleopatra,Roman Senate; Mughal Empire,"Rome, Italy",1835-02-12,battle,History
"The tournament in Melbourne, Australia featured Lionel Messi and Team India.",Lionel Messi; Cristiano Ronaldo,Team India,"Melbourne, Australia",1987-09-09,tournament,Sports
A study by George Washington Carver showed benefits of irrigation technique adoption for soybeans.,George Washington Carver,CIMMYT,"Punjab, India",1766-05-15,irrigation technique adoption,Agriculture
"Louvre Museum announced restoration of the opera in Vienna, Austria.",Beyoncé,Louvre Museum,"Vienna, Austria",1856-12-20,opera,Arts
"Royal Academy announced restoration of the painting in Madrid, Spain.",Beyoncé,Royal Academy,"Madrid, Spain",1972-01-16,painting,Arts
A breakthrough in robotics was reported by Microsoft.,Sundar Pichai; Elon Musk,Microsoft,"Bengaluru, India",1942-12-12,robotics,Technology
Jane Goodall published findings on particle discovery at NASA.,Jane Goodall,NASA,"Geneva, Switzerland",1706-12-08,particle discovery,Science
Wimbledon announced a new season opener for 2023-2024.,Serena Williams,Wimbledon,"London, UK",1797-03-21,season opener,Sports
"Siemens opened a new office in Mumbai, India to expand consumer electronics.",Indra Nooyi,Siemens,"Mumbai, India",1606-06-19,IPO,Business
"Reliance Industries opened a new office in New York, USA to expand consumer electronics.",Indra Nooyi; Tim Cook,Reliance Industries,"New York, USA",1693-07-13,restructuring,Business
"A policy announcement was passed by United Nations impacting Washington, USA.",Narendra Modi,United Nations,"Washington, USA",1882-07-23,policy announcement,Politics
"Researchers at Max Planck Institute reported a field research in Geneva, Switzerland.",Rosalind Franklin,Max Planck Institute,"Geneva, Switzerland",1800-10-16,field research,Science
"Records show uprising happened in Delhi, India around 1923-05-02.",Cleopatra,Roman Senate,"Delhi, India",1923-05-02,uprising,History
Sundar Pichai became CEO of Tesla following the restructuring.,Sundar Pichai,Tesla,"Frankfurt, Germany",1681-11-23,restructuring,Business
OpenAI released a edge computing that improves AI-driven sensors.,Tim Berners-Lee,OpenAI,"Stockholm, Sweden",1878-10-08,edge computing,Technology
"Cristiano Ronaldo led Wimbledon to victory at the final match in Melbourne, Australia.",Cristiano Ronaldo,Wimbledon,"Melbourne, Australia",1994-01-10,final match,Sports
A breakthrough in edge computing was reported by OpenAI.,Tim Berners-Lee,OpenAI,"Shenzhen, China",2018-12-03,edge computing,Technology
Max Planck Institute announced a field research that impacts genetics.,Marie Curie,Max Planck Institute,"Geneva, Switzerland",1904-10-21,field research,Science
"Lionel Messi led NBA to victory at the tournament in London, UK.",Lionel Messi,NBA,"London, UK",1807-04-21,tournament,Sports
"Ludwig van Beethoven premiered a symphony at Vienna, Austria.",Ludwig van Beethoven,Tate Modern,"Vienna, Austria",1520-05-07,symphony,Arts
"Frida Kahlo premiered a symphony at Vienna, Austria.",Frida Kahlo; Ludwig van Beethoven,Louvre Museum,"Vienna, Austria",1983-10-26,symphony,Arts
"A famous exhibition by Beyoncé is housed in Louvre Museum in Paris, France.",Beyoncé,Louvre Museum,"Paris, France",1996-05-10,exhibition,Arts
Wimbledon announced a new final match for 2022-2023.,Lionel Messi,Wimbledon,"Melbourne, Australia",1843-04-06,final match,Sports
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Punjab, India.",George Washington Carver,AgriTech Ltd,"Punjab, India",1822-10-22,irrigation technique adoption,Agriculture
A breakthrough in 5G networks was reported by Google.,Sundar Pichai,Google,"Shenzhen, China",1547-11-05,AI-driven sensors,Technology
"International Rice Research Institute introduced a yield improvement study to improve yields in Punjab, India.",Rachel Carson,International Rice Research Institute,"Punjab, India",1638-02-23,yield improvement study,Agriculture
"A summit was passed by Congress impacting Washington, USA.",Narendra Modi,Congress,"Washington, USA",1603-10-07,summit,Politics
Apple released a robotics that improves AI-driven sensors.,Ada Lovelace,Apple,"Silicon Valley, USA",1855-11-14,robotics,Technology
"Norman Borlaug led trials of yield improvement study in Nairobi, Kenya.",Norman Borlaug,ICAR,"Nairobi, Kenya",1579-07-07,yield improvement study,Agriculture
"Frida Kahlo premiered a painting at Vienna, Austria.",Frida Kahlo,Metropolitan Opera,"Vienna, Austria",2004-05-08,painting,Arts
A study by M. S. Swaminathan showed benefits of yield improvement study for rice.,M. S. Swaminathan,ICAR,"Lima, Peru",1640-01-28,yield improvement study,Agriculture
A study by M. S. Swaminathan showed benefits of irrigation technique adoption for wheat.,M. S. Swaminathan,ICAR,"Iowa, USA",1629-03-12,irrigation technique adoption,Agriculture
"The uprising marked a turning point in Rome, Italy's history.",Nelson Mandela,British Empire,"Rome, Italy",2012-07-29,uprising,History
"M.S. Dhoni led NBA to victory at the final match in London, UK.",M.S. Dhoni,NBA,"London, UK",1810-02-21,final match,Sports
"Ludwig van Beethoven premiered a exhibition at New York, USA.",Ludwig van Beethoven,Royal Academy,"New York, USA",1714-10-07,exhibition,Arts
A breakthrough in 5G networks was reported by SpaceX.,Sundar Pichai,SpaceX,"Stockholm, Sweden",1521-02-17,5G networks,Technology
A study on field research led by Rosalind Franklin was published on 1733-08-03.,Rosalind Franklin,CERN; NASA,"Cambridge, UK",1733-08-03,field research,Science
"Elon Musk led the launch of a quantum computing in Bengaluru, India.",Elon Musk; Grace Hopper,Google,"Bengaluru, India",1712-01-20,quantum computing,Technology
"Kamala Harris met leaders from United Nations in Geneva, Switzerland to discuss summit.",Kamala Harris,United Nations,"Geneva, Switzerland",1595-10-23,summit,Politics
Pablo Picasso exhibited a new exhibition at Royal Academy.,Pablo Picasso,Royal Academy,"New York, USA",1595-11-23,exhibition,Arts
"Rachel Carson led trials of yield improvement study in Punjab, India.",Rachel Carson; George Washington Carver,ICAR,"Punjab, India",1968-04-07,yield improvement study,Agriculture
"A famous symphony by Vincent van Gogh is housed in Royal Academy in Paris, France.",Vincent van Gogh,Royal Academy,"Paris, France",2002-03-13,symphony,Arts
Wimbledon announced a new season opener for 2023-2024.,Lionel Messi,Wimbledon,"Madrid, Spain",1654-01-31,season opener,Sports
Max Planck Institute announced a gene sequencing that impacts physics.,Isaac Newton,Max Planck Institute,"Geneva, Switzerland",1915-09-04,gene sequencing,Science
"Louvre Museum announced restoration of the symphony in New York, USA.",Ludwig van Beethoven,Louvre Museum,"New York, USA",1895-06-15,symphony,Arts
"M. S. Swaminathan led trials of yield improvement study in Lima, Peru.",M. S. Swaminathan,FAO,"Lima, Peru",1862-03-20,yield improvement study,Agriculture
Marie Curie published findings on particle discovery at Harvard University.,Marie Curie,Harvard University; CERN,"Geneva, Switzerland",1616-02-09,particle discovery,Science
"Kamala Harris met leaders from Congress in New Delhi, India to discuss bill passage.",Kamala Harris; Narendra Modi,Congress,"New Delhi, India",1882-12-04,bill passage,Politics
"Tesla opened a new office in Seoul, South Korea to expand consumer electronics.",Jamie Dimon; Tim Cook,Tesla,"Seoul, South Korea",1876-01-19,merger,Business
"Beyoncé premiered a painting at Madrid, Spain.",Beyoncé,Sydney Opera House,"Madrid, Spain",1756-12-06,painting,Arts
"A famous exhibition by Vincent van Gogh is housed in Louvre Museum in New York, USA.",Vincent van Gogh,Louvre Museum,"New York, USA",1720-05-12,exhibition,Arts
"The Treaty signing took place in Berlin, Germany and involved British Empire.",Cleopatra,British Empire,"Berlin, Germany",1766-07-30,Treaty signing,History
Pablo Picasso exhibited a new opera at Louvre Museum.,Pablo Picasso,Louvre Museum,"New York, USA",1651-02-09,opera,Arts
"The battle marked a turning point in Constantinople, Turkey's history.",Cleopatra,British Empire,"Constantinople, Turkey",1948-03-29,battle,History
NBA announced a new season opener for 2022-2023.,Serena Williams,NBA,"Madrid, Spain",1534-07-31,season opener,Sports
"Records show coronation happened in Delhi, India around 1674-10-24.",Winston Churchill,Roman Senate,"Delhi, India",1674-10-24,coronation,History
FC Barcelona announced a new tournament for 2024-2025.,Cristiano Ronaldo,FC Barcelona,"Melbourne, Australia",1645-03-13,tournament,Sports
A study on climate study led by Marie Curie was published on 1575-11-05.,Marie Curie; Rosalind Franklin,CERN,"Cambridge, UK",1575-11-05,climate study,Science
Frida Kahlo exhibited a new exhibition at Louvre Museum.,Frida Kahlo; Leonardo da Vinci,Louvre Museum,"Madrid, Spain",1931-09-03,exhibition,Arts
Team India announced a new tournament for 2023-2024.,Serena Williams,Team India,"Melbourne, Australia",1615-03-18,tournament,Sports
Marie Curie published findings on climate study at CERN.,Marie Curie,CERN,"Cape Town, South Africa",1706-05-03,climate study,Science
"The final match in Madrid, Spain featured Lionel Messi and Wimbledon.",Lionel Messi,Wimbledon,"Madrid, Spain",1669-07-24,final match,Sports
"Records show expedition happened in Berlin, Germany around 1511-04-02.",Julius Caesar,Mughal Empire,"Berlin, Germany",1511-04-02,expedition,History
"Lionel Messi led NBA to victory at the final match in Madrid, Spain.",Lionel Messi,NBA,"Madrid, Spain",1972-08-14,final match,Sports
"Researchers at Max Planck Institute reported a particle discovery in Cape Town, South Africa.",Jane Goodall,Max Planck Institute; Harvard University,"Cape Town, South Africa",1923-03-10,particle discovery,Science
Harvard University announced a particle discovery that impacts physics.,Marie Curie,Harvard University,"Cambridge, UK",1580-10-22,particle discovery,Science
Tesla acquired Samsung in a deal valued at $15M.,Indra Nooyi,Tesla,"Seoul, South Korea",1593-02-27,acquisition,Business
A study on climate study led by Rosalind Franklin was published on 1619-08-15.,Rosalind Franklin,CERN,"Cambridge, UK",1619-08-15,climate study,Science
"Sundar Pichai led the launch of a quantum computing in Shenzhen, China.",Sundar Pichai,SpaceX; OpenAI,"Shenzhen, China",1684-06-20,quantum computing,Technology
"The expedition took place in Constantinople, Turkey and involved British Empire.",Nelson Mandela,British Empire,"Constantinople, Turkey",1682-06-29,expedition,History
SpaceX released a quantum computing that improves AI-driven sensors.,Marissa Mayer; Satya Nadella,SpaceX,"London, UK",1629-10-07,quantum computing,Technology
"Barack Obama announced policy changes regarding education at Washington, USA.",Barack Obama,Congress,"Washington, USA",1973-10-20,policy announcement,Politics
Mahatma Gandhi was a key figure in the Treaty signing.,Mahatma Gandhi,Allied Powers,"Rome, Italy",1946-02-15,Treaty signing,History
"The tournament in Melbourne, Australia featured Cristiano Ronaldo and Wimbledon.",Cristiano Ronaldo,Wimbledon,"Melbourne, Australia",1745-09-08,tournament,Sports
A study on field research led by Jane Goodall was published on 2006-12-09.,Jane Goodall,CERN,"Cambridge, UK",2006-12-09,field research,Science
"Researchers at NASA reported a field research in Cambridge, UK.",Jane Goodall,NASA; CERN,"Cambridge, UK",1509-03-08,field research,Science
Indra Nooyi became CEO of Samsung following the acquisition.,Indra Nooyi,Samsung,"Mumbai, India",1644-04-01,acquisition,Business
Reliance Industries acquired Siemens in a deal valued at $1.2B.,Indra Nooyi,Reliance Industries; Siemens,"New York, USA",1715-08-14,acquisition,Business
"Kamala Harris met leaders from Parliament in New Delhi, India to discuss policy announcement.",Kamala Harris,Parliament,"New Delhi, India",1628-03-28,policy announcement,Politics
Goldman Sachs acquired Reliance Industries in a deal valued at $450M.,Indra Nooyi,Goldman Sachs,"New York, USA",1937-01-01,acquisition,Business
